hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
-0.143,-1.739,9,CD8_c9_Tsen,0.444,0.114,1.662,0.488,0.115,0.615,0.188,2.212,0.616,0.992,0.671,1.009,0.0,0.179,0.751,1.668,0.478,0.329,0.0,0.39,0.736,0.139,0.414,0.785,0.267
5.45,0.994,93,CD8_c3_Tn,0.957,0.049,1.947,0.086,0.019,0.05,0.054,1.196,0.263,2.251,0.13,1.548,0.638,0.086,0.121,0.566,0.626,0.603,1.159,0.6,0.08,0.866,0.012,0.025,0.024
1.291,-2.733,200,CD8_c4_Tstr,0.995,0.063,1.908,0.27,0.035,0.657,0.125,1.599,0.179,2.401,0.337,0.71,0.039,0.168,0.533,1.355,1.006,0.079,0.123,0.183,0.115,0.292,0.089,0.45,0.389
3.872,1.242,91,CD8_c0_t-Teff,0.956,0.138,1.338,0.073,0.021,0.066,0.057,0.839,0.25,2.431,0.184,1.018,0.257,0.224,0.285,1.103,0.941,0.303,0.451,0.367,0.074,0.368,0.021,0.052,0.23
-3.299,-6.21,132,CD8_c1_Tex,0.985,0.091,0.912,0.696,0.742,1.747,0.37,1.33,0.378,1.09,0.794,0.056,0.12,0.43,0.754,1.595,0.56,0.024,0.17,0.256,0.184,0.303,0.482,1.609,0.533
6.454,0.745,57,CD8_c3_Tn,0.965,0.036,0.621,0.734,0.063,1.002,0.057,0.995,0.156,2.888,0.606,0.887,0.19,0.137,0.886,0.779,0.522,0.174,0.535,0.381,0.112,0.491,0.058,0.221,0.117
3.586,1.242,107,CD8_c0_t-Teff,1.0,0.152,1.242,0.164,0.074,0.213,0.052,1.133,0.195,2.347,0.258,0.988,0.151,0.292,0.246,0.924,0.828,0.442,0.421,0.472,0.042,0.542,0.047,0.111,0.246
-0.574,2.981,84,CD8_c0_t-Teff,0.988,0.076,0.328,0.212,0.0,0.101,0.0,0.25,0.14,1.764,0.335,0.584,0.158,0.26,0.468,0.622,0.639,0.444,0.298,0.484,0.167,0.441,0.127,0.015,0.321
-3.299,-5.714,154,CD8_c1_Tex,0.994,0.191,0.986,0.838,1.027,1.967,1.135,1.696,0.5,0.475,0.966,0.105,0.049,0.96,1.505,2.083,0.752,0.004,0.131,0.594,0.276,0.117,0.84,0.631,0.785
0.717,-1.739,182,CD8_c4_Tstr,0.967,0.054,2.417,0.344,0.05,0.677,0.055,1.863,0.667,1.458,0.451,1.223,0.177,0.142,0.431,1.413,0.633,0.092,0.362,0.277,0.248,0.329,0.126,0.515,0.169
3.299,0.745,213,CD8_c0_t-Teff,0.991,0.169,1.529,0.228,0.078,0.77,0.055,1.496,0.164,2.377,0.271,0.783,0.221,0.093,0.555,1.295,1.14,0.263,0.318,0.427,0.086,0.513,0.048,0.406,0.359
3.586,0.745,277,CD8_c0_t-Teff,0.993,0.134,1.207,0.381,0.018,1.132,0.065,1.38,0.2,2.539,0.34,0.469,0.124,0.164,0.794,1.007,0.939,0.269,0.197,0.393,0.087,0.469,0.029,0.338,0.354
3.012,0.745,171,CD8_c0_t-Teff,0.971,0.135,1.658,0.241,0.068,0.495,0.026,1.194,0.135,2.082,0.243,0.886,0.263,0.083,0.449,1.067,0.967,0.281,0.455,0.483,0.147,0.496,0.051,0.295,0.345
4.733,1.242,45,CD8_c3_Tn,0.533,0.11,1.77,0.042,0.045,0.12,0.037,0.828,0.066,2.47,0.035,1.498,0.341,0.219,0.283,1.029,0.98,0.466,0.668,0.188,0.157,0.366,0.045,0.03,0.066
0.143,-1.242,81,CD8_c4_Tstr,0.889,0.042,1.25,0.239,0.07,0.742,0.138,0.925,0.098,1.54,0.649,0.244,0.026,0.25,0.562,0.599,0.578,0.057,0.406,0.444,0.195,0.331,0.244,0.522,0.233
3.155,0.994,148,CD8_c0_t-Teff,0.993,0.188,1.52,0.145,0.072,0.469,0.05,1.251,0.121,2.211,0.344,0.99,0.152,0.204,0.427,1.255,1.204,0.261,0.328,0.452,0.099,0.613,0.035,0.358,0.421
-1.434,0.497,145,CD8_c0_t-Teff,0.621,0.077,1.485,0.788,0.09,0.966,0.22,1.286,0.116,0.564,0.499,0.36,0.093,0.413,0.971,1.262,0.744,0.052,0.332,0.722,0.349,0.2,0.256,0.199,0.307
-0.43,3.229,19,CD8_c0_t-Teff,0.895,0.0,0.353,0.285,0.0,0.218,0.0,0.074,0.376,1.673,0.123,0.222,0.133,0.213,0.461,0.421,0.619,0.555,0.257,0.969,0.125,0.791,0.0,0.0,0.0
4.016,1.49,14,CD8_c0_t-Teff,0.857,0.0,0.923,0.0,0.0,0.077,0.097,1.135,0.12,2.34,0.185,0.368,0.146,0.045,0.368,0.877,0.57,1.263,0.603,0.427,0.103,0.505,0.0,0.0,0.178
-1.147,2.981,1,CD8_c0_t-Teff,1.0,0.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,2.728,0.0,0.0,0.0,0.0,2.015,1.589,0.833,0.833,0.833,0.833,0.0,0.833,0.0,0.0,0.833
3.012,0.248,153,CD8_c0_t-Teff,1.0,0.137,1.887,0.5,0.297,0.855,0.08,1.882,0.073,2.239,0.431,0.555,0.168,0.16,0.687,1.835,1.047,0.079,0.189,0.527,0.159,0.442,0.092,1.004,0.464
6.884,1.987,16,CD8_c3_Tn,0.938,0.182,1.088,0.035,0.263,0.371,0.044,0.727,0.0,2.105,0.069,1.106,0.439,0.0,0.349,0.575,0.309,0.2,0.463,0.765,0.319,0.431,0.012,0.225,0.433
1.721,0.0,138,CD8_c0_t-Teff,0.949,0.121,2.361,0.252,0.099,0.597,0.093,2.0,0.215,1.27,0.266,0.971,0.052,0.115,0.629,1.61,1.021,0.12,0.199,0.441,0.286,0.404,0.16,0.888,0.656
2.582,0.994,125,CD8_c0_t-Teff,0.976,0.095,1.44,0.131,0.008,0.344,0.033,0.956,0.053,1.707,0.196,0.933,0.168,0.207,0.372,1.056,0.933,0.234,0.283,0.595,0.155,0.427,0.086,0.203,0.444
3.299,0.248,227,CD8_c0_t-Teff,0.974,0.106,1.765,0.442,0.115,1.135,0.06,1.615,0.096,2.482,0.512,0.507,0.229,0.238,0.848,1.466,1.057,0.176,0.226,0.459,0.158,0.503,0.069,1.112,0.468
