UMAP_1,UMAP_2,state
0.262,0.322,CD8.CM
-6.39,-3.255,CD8.TEX
5.052,3.475,CD8.NaiveLike
0.985,3.372,CD8.CM
1.472,3.188,CD8.CM
-6.152,-3.37,CD8.TEX
-1.91,-0.679,CD8.EM
-7.014,-2.585,CD8.TPEX
-4.594,-3.946,CD8.TEX
-6.476,-0.082,CD8.TPEX
-0.995,-1.152,CD8.EM
2.42,1.609,CD8.CM
-6.397,-3.58,CD8.TEX
-6.475,-0.217,CD8.TPEX
-6.64,-1.233,CD8.TPEX
-0.682,0.231,CD8.CM
-2.085,-2.248,CD8.TEX
-2.225,-2.427,CD8.EM
-5.953,-2.881,CD8.TEX
-1.381,-1.032,CD8.EM
-6.751,-3.743,CD8.TEX
-7.111,-3.031,CD8.TEX
2.353,2.343,CD8.CM
2.041,1.618,CD8.CM
5.713,3.624,CD8.CM
-6.312,-3.443,CD8.TEX
-2.133,-2.525,CD8.EM
-0.86,-2.533,CD8.EM
2.334,1.682,CD8.CM
-0.311,0.453,CD8.CM
2.03,1.805,CD8.CM
1.448,3.19,CD8.CM
-5.58,-3.744,CD8.TEX
-6.152,-3.873,CD8.TEX
-6.835,-0.534,CD8.TPEX
1.789,1.013,CD8.CM
3.98,2.616,CD8.CM
-1.697,-2.207,CD8.EM
-1.497,-0.706,CD8.EM
-6.303,-0.203,CD8.TPEX
2.354,1.637,CD8.CM
-6.56,-4.015,CD8.TEX
-5.934,-0.859,CD8.TPEX
-6.366,-0.472,CD8.TPEX
1.004,0.814,CD8.CM
-1.59,-0.918,CD8.EM
1.864,1.735,CD8.CM
1.678,1.98,CD8.CM
3.987,2.281,CD8.CM
-1.743,-1.982,CD8.EM
-6.475,-0.491,CD8.TPEX
-6.464,-0.493,CD8.TPEX
-1.078,-0.502,CD8.EM
-2.086,-2.365,CD8.EM
-7.121,-2.844,CD8.TEX
1.841,1.972,CD8.CM
1.87,2.632,CD8.CM
1.694,1.942,CD8.CM
-7.039,-3.027,CD8.TEX
-5.465,-0.786,CD8.TPEX
-5.054,-1.373,CD8.TPEX
-6.359,-3.896,CD8.TEX
-0.627,-1.069,CD8.EM
0.544,-0.168,CD8.EM
-6.492,-0.26,CD8.TPEX
1.87,2.347,CD8.CM
-4.856,-0.733,CD8.EM
6.642,3.782,CD8.NaiveLike
-5.043,-2.922,CD8.TPEX
-6.064,-3.245,CD8.TEX
-1.79,-1.169,CD8.EM
-6.841,-3.897,CD8.TEX
2.199,2.145,CD8.CM
-6.47,-0.162,CD8.TPEX
4.584,2.997,CD8.CM
-6.444,0.071,CD8.TPEX
5.17,4.122,CD8.NaiveLike
-6.504,-1.485,CD8.TPEX
3.039,2.569,CD8.CM
-5.983,-4.129,CD8.TEX
-6.76,-3.824,CD8.TEX
-6.177,-5.099,CD8.TEX
-6.554,-1.71,CD8.TPEX
1.393,1.446,CD8.CM
